ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
3403ece4,Mixed Air Humidity,Base,Sensor,Mixed_Air_Humidity_Sensor,,,"mixed, air, humidity",,sensor|sp,hisMode:sampled,,,,,
d614c225,Mixed Air Humidity Setpoint,Base,Setpoint,Mixed_Air_Humidity_Setpoint,,,"mixed, air, humidity",setpoint,sp,hisMode:sampled,,,,,
93fb36cc,Mixed Air Flow,Base,Sensor,Mixed_Air_Flow_Sensor,,,"mixed, air, flow",,sensor|sp,hisMode:sampled,,,,,
01701f9c,Return Air Temperature,Base,Sensor,Return_Air_Temperature_Sensor,,,"return, air, temp",,sensor|sp,hisMode:sampled,,,,,
873ce545,Return Air Temperature Setpoint,Base,Setpoint,Return_Air_Temperature_Setpoint,,,"return, air, temp",setpoint,sp,hisMode:sampled,,,,,
079d9f81,Return Air Humidity,Base,Sensor,Return_Air_Humidity_Sensor,,,"return, air, humidity",,sensor|sp,hisMode:sampled,,,,,
8c93bf1c,Return Air Humidity Setpoint,Base,Setpoint,Return_Air_Humidity_Setpoint,,,"return, air, humidity",setpoint,sp,hisMode:sampled,,,,,
cc8d1ac2,Return Air Enthalpy,Base,Sensor,Return_Air_Enthalpy_Sensor,,,"return, air",enthalpy,sensor|sp,hisMode:sampled,,,,,
5e102229,Return Air Dew Point Temperature,Base,Sensor,Return_Air_Dewpoint_Sensor,,,"return, air, temp, dewPoint",,sensor|sp,hisMode:sampled,,,,,
ad18a245,Return Air Flow,Base,Sensor,Return_Air_Flow_Sensor,,,"return, air, flow",,sensor|sp,hisMode:sampled,,,,,
6613e513,Return Air CO2,Base,Sensor,Return_Air_CO2_Sensor,,,"return, air, co2",,sensor|sp,hisMode:sampled,,,,,
b881a3c9,Return Air CO2 Setpoint,Base,Setpoint,Return_Air_CO2_Setpoint,,,"return, air, co2",setpoint,sp,hisMode:sampled,,,,,
c6d6c978,Outside Air Temperature,Base,Sensor,Outside_Air_Temperature_Sensor,,,"outside, air, temp",,sensor|sp,hisMode:sampled,,,,,
574be2ba,Outside Air Dew Point Temperature,Base,Sensor,Outside_Air_Dewpoint_Sensor,,,"outside, air, dewPoint, temp",,sp,hisMode:sampled,,,,,
f0db216d,Outside Air Humidity,Base,Sensor,Outside_Air_Humidity_Sensor,,,"outside, air, humidity",,sensor|sp,hisMode:sampled,,,,,
a506af8b,Outside Air Enthalpy,Base,Sensor,Outside_Air_Enthalpy_Sensor,,,"outside, air",enthalpy,sensor|sp,hisMode:sampled,,,,,
2aeaf009,Outside Air Flow,Base,Sensor,Outside_Air_Flow_Sensor,,,"outside, air, flow",,sensor|sp,hisMode:sampled,,,,,
4039265e,Outside Air Flow Low Limit Setpoint,Base,Setpoint,Outside_Air_Flow_Setpoint,,,"outside, air, flow, min",setpoint,sp,,,,,,
19815342,Outside Air CO2,Base,Sensor,Outside_Air_CO2_Sensor,,,"outside, air, co2",,sensor|sp,hisMode:sampled,,,,,
8fdfea29,Exhaust Air Temperature,Base,Sensor,Exhaust_Air_Temperature_Sensor,,,"exhaust, air, temp",,sensor|sp,hisMode:sampled,,,,,
d0b0e2fa,Exhaust Air Humidity,Base,Sensor,Exhaust_Air_Humidity_Sensor,,,"exhaust, air, humidity",,sensor|sp,hisMode:sampled,,,,,
fe71304f,Exhaust Air Pressure,Base,Sensor,Exhaust_Air_Static_Pressure_Sensor,,,"exhaust, air, pressure",,sensor|sp,hisMode:sampled,,,,,
ccfc168f,Exhaust Air Pressure Setpoint,Base,Setpoint,Exhaust_Air_Static_Pressure_Setpoint,,,"exhaust, air, pressure",setpoint,sp,hisMode:sampled,,,,,
1b2a5826,Exhaust Air Flow,Base,Sensor,Exhaust_Air_Flow_Sensor,,,"exhaust, air, flow",,sensor|sp,hisMode:sampled,,,,,
2d035599,Exhaust Air Flow Setpoint,Base,Setpoint,Exhaust_Air_Flow_Setpoint,,,"exhaust, air, flow",setpoint,sp,hisMode:sampled,,,,,
8a39d81e,Air Temperature,Base,Sensor,Air_Temperature_Sensor,,,"air, temp",,sensor|sp,hisMode:sampled,,,,,
f3548ba5,Air Temperature Setpoint,Base,Setpoint,Air_Temperature_Setpoint,,,"air, temp",setpoint,sp,hisMode:sampled,,,,,
6f1ee0fd,Air Humidity,Base,Sensor,Relative_Humidity_Sensor,,,"air, humidity",,sensor|sp,hisMode:sampled,,,,,
ebfc75d5,Air Absolute Humidity,Base,Sensor,Humidity_Sensor,,,"air, humidity",absolute,sp,hisMode:sampled,,,,,
2851af2b,Air Flow,Base,Sensor,Air_Flow_Sensor,,,"air, flow",,sensor|sp,hisMode:sampled,,,,,
c2fbb5a4,Air Flow Setpoint,Base,Setpoint,Air_Flow_Setpoint,,,"air, flow",setpoint,sp,hisMode:sampled,,,,,
0bb04c63,Speed,Base,Sensor,Speed_Sensor,,,speed,,sensor|sp,hisMode:sampled,,,,,
b741ad6c,Speed Setpoint,Base,Setpoint,Speed_Setpoint,,,speed,setpoint,sp,hisMode:sampled,,,,,
1e55451a,Position,Base,Sensor,Position_Sensor,,,,position,sensor|sp,hisMode:sampled,,,,,
02a131f0,Position Command,Base,Command,Position_Command,,,,position,cmd,hisMode:sampled,,,,,
ba97f2ab,Flow Rate,Base,Sensor,Flow_Sensor,,,flow,,sensor|sp,hisMode:sampled,,,,,
b3cf5097,Flow Rate Setpoint,Base,Setpoint,Flow_Setpoint,,,flow,setpoint,sp,hisMode:sampled,,,,,
a4b520c7,Pressure,Base,Sensor,Static_Pressure_Sensor,,,pressure,,sensor|sp,hisMode:sampled,,,,,
e9af2f53,Pressure Setpoint,Base,Setpoint,Static_Pressure_Setpoint,,,pressure,setpoint,sp,hisMode:sampled,,,,,
5b54b54d,Delta-P,Base,Sensor,Differential_Pressure_Sensor,,,"pressure, delta",,sensor|sp,hisMode:sampled,,,,,
5b54b54a,Delta-P Setpoint,Base,Setpoint,Differential_Pressure_Setpoint,,,"pressure, delta",setpoint,sp,hisMode:sampled,,,,,
25901fcc,Temperature,Base,Sensor,Temperature_Sensor,,,temp,,sensor|sp,hisMode:sampled,,,,,
bf71d231,Temperature Setpoint,Base,Setpoint,Temperature_Setpoint,,,temp,setpoint,sp,hisMode:sampled,,,,,
b8dec0f6,CO2,Base,Sensor,CO2_Sensor,,,co2,,sensor|sp,hisMode:sampled,,,,,
b6cb9844,Lockout Outside Air Temperature Setpoint,Base,Setpoint,Outside Air Lockout Temperature Setpoint,,,"outside, air, temp, disable",setpoint,sp,hisMode:sampled,,,,,
eb32785a,Lockout Status,Base,Status,Lockout_Status,,,"outside, air, temp, disable, economizing",,sp,hisMode:sampled,,,,,
912175c2,Heating Enable Command,Base,Command,Heating_Enable_Command,,,"heating, run",,cmd|sp,hisMode:sampled,,,,,
89f8189e,Heating Command,Base,Command,Heating_Command,,,"heat, stage:{n}",,cmd,hisMode:sampled,,,,,
3f330d33,Cooling Enable Command,Base,Command,Cooling_Enable_Command,,,"cooling, run",,cmd|sp,hisMode:sampled,,,,,
51d33c48,Cooling Command,Base,Command,Cooling_Command,,,"cool, stage:{n}",,cmd,hisMode:sampled,,,,,
34a096b5,CHW Flow Rate,Base,Sensor,Chilled_Water_Flow_Sensor,,,"chilled, water, flow",,sensor|sp,hisMode:sampled,,,,,
17cfeef8,CHW Flow Rate Setpoint,Base,Setpoint,Chilled_Water_Flow_Setpoint,,,"chilled, water, flow",setpoint,sp,hisMode:sampled,,,,,
8a46be6a,CHW Leaving Temperature Offset,Base,Sensor,Temperature_Sensor,,,"chilled, water, leaving , temp",offset,sp,hisMode:sampled,,,,,
5733e12f,CHW Delta-T,Base,Sensor,Chilled_Water_Differential_Temperature_Sensor,,,"chilled, water, delta, temp",,sp,hisMode:sampled,,,,,
b5a06031,CHW Delta-P,Base,Sensor,Chilled_Water_Differential_Pressure_Sensor,,,"chilled, water, delta, pressure",,sp,hisMode:sampled,,,,,
907a5e64,CHW Delta-P Setpoint,Base,Setpoint,Chilled_Water_Differential_Pressure_Setpoint,,,"chilled, water, delta, pressure",setpoint,sp,hisMode:sampled,,,,,
