ID,PointName,Meta:State,Brick:L1PointClass,Brick:PointClass,Subpart:EntityClassL0,Subpart:EntityClassL1,Haystack:Markers,Haystack:CustomMarkers,Haystack:FunctionMarker,Haystack:PointHisParameters,,,,,
71c25829,Discharge Air Fan Run Status,Subparts,Status,On_Off_Status,Discharge_Fan,,"discharge, air, fan, run",,sensor|sp,hisMode:sampled,,,,,
f913744a,Discharge Air Fan Speed Mode,Subparts,Status,Speed_Mode_Status,Discharge_Fan,,"discharge, air, fan, speed",mode,sp,hisMode:sampled,,,,,
1fc1e9da,Discharge Air Fan Enable Command,Subparts,Command,Enable_Command,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, enable",,cmd,hisMode:sampled,,,,,
bced65f8,Discharge Air Fan Enable Status,Subparts,Status,Enable_Status,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, enable",,sensor|sp,hisMode:sampled,,,,,
2e547212,Discharge Air Fan Override Status,Subparts,Status,Overridden_Status,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan",override,sensor|sp,hisMode:sampled,,,,,
1df4ea70,Discharge Air Fan Override Command,Subparts,Command,Override_Command,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan",override,cmd|sp,hisMode:sampled,,,,,
de959865,Discharge Air Fan Speed,Subparts,Sensor,Speed_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
11c78ab2,Discharge Air Fan Speed Setpoint,Subparts,Setpoint,Speed_Setpoint,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, speed",setpoint,sp,hisMode:sampled,,,,,
4cb92f46,Discharge Air Fan Angular Speed,Subparts,Sensor,Speed_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
d67f38b9,Discharge Air Fan Frequency,Subparts,Sensor,Frequency_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, freq",,sensor|sp,hisMode:sampled,,,,,
dd5651da,Discharge Air Fan Active Power,Subparts,Sensor,Active_Power_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, active, power, (ac), (total)",,sensor|sp,hisMode:sampled,,,,,
1dc6b41b,Discharge Air Fan Current,Subparts,Sensor,Current_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, current",,sensor|sp,hisMode:sampled,,,,,
f4b06f5d,Discharge Air Fan Voltage,Subparts,Sensor,Voltage_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, volt",,sensor|sp,hisMode:sampled,,,,,
64c656f1,Discharge Air Fan Torque,Subparts,Sensor,Torque_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan",torque,sensor|sp,hisMode:sampled,,,,,
45099d7b,Discharge Air Fan DC Voltage,Subparts,Sensor,DC_Bus_Voltage_Sensor,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, volt, dc",,sensor|sp,hisMode:sampled,,,,,
81a4c780,Discharge Air Fan Fault Status,Subparts,Status,Fault_Status,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan",fault,sp,hisMode:sampled,,,,,
86bded66,Discharge Air Fan Speed Low Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, speed","lowLimit, setpoint",sp,hisMode:sampled,,,,,
89379817,Discharge Air Fan Speed High Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Discharge_Fan,Variable_Frequency_Drive,"discharge, air, fan, speed","highLimit, setpoint",sp,hisMode:sampled,,,,,
e2af851d,Return Air Fan Run Command,Subparts,Command,On_Off_Command,Return_Fan,,"return, air, fan, run",,cmd,hisMode:sampled,,,,,
1fef44bc,Return Air Fan Run Status,Subparts,Status,On_Off_Status,Return_Fan,,"return, air, fan, run",,sensor|sp,hisMode:sampled,,,,,
cf752d11,Return Air Fan Speed Mode,Subparts,Status,Speed_Mode_Status,Return_Fan,,"return, air, fan, speed",mode,sp,hisMode:sampled,,,,,
54d27560,Return Air Fan Enable Command,Subparts,Command,Enable_Command,Return_Fan,Variable_Frequency_Drive,"return, air, fan, enable",,cmd,hisMode:sampled,,,,,
306c7ce9,Return Air Fan Enable Status,Subparts,Status,Enable_Status,Return_Fan,Variable_Frequency_Drive,"return, air, fan, enable",,sensor|sp,hisMode:sampled,,,,,
8a621513,Return Air Fan Override Status,Subparts,Status,Overridden_Status,Return_Fan,Variable_Frequency_Drive,"return, air, fan",override,sensor|sp,hisMode:sampled,,,,,
bca92c06,Return Air Fan Override Command,Subparts,Command,Override_Command,Return_Fan,Variable_Frequency_Drive,"return, air, fan",override,cmd|sp,hisMode:sampled,,,,,
66ee5f51,Return Air Fan Speed,Subparts,Sensor,Speed_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
6008db3d,Return Air Fan Speed Setpoint,Subparts,Setpoint,Speed_Setpoint,Return_Fan,Variable_Frequency_Drive,"return, air, fan, speed",setpoint,sp,hisMode:sampled,,,,,
83907bbb,Return Air Fan Angular Speed,Subparts,Sensor,Speed_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
a51807b0,Return Air Fan Frequency,Subparts,Sensor,Frequency_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, freq",,sensor|sp,hisMode:sampled,,,,,
2d1657c2,Return Air Fan Active Power,Subparts,Sensor,Active_Power_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, active, power, (ac), (total)",,sensor|sp,hisMode:sampled,,,,,
766760ca,Return Air Fan Current,Subparts,Sensor,Current_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, current",,sensor|sp,hisMode:sampled,,,,,
70ecb59a,Return Air Fan Voltage,Subparts,Sensor,Voltage_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, volt",,sensor|sp,hisMode:sampled,,,,,
930b3a84,Return Air Fan Torque,Subparts,Sensor,Torque_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan",torque,sensor|sp,hisMode:sampled,,,,,
ec951ab0,Return Air Fan DC Voltage,Subparts,Sensor,DC_Bus_Voltage_Sensor,Return_Fan,Variable_Frequency_Drive,"return, air, fan, volt, dc",,sensor|sp,hisMode:sampled,,,,,
5547db95,Return Air Fan Fault Status,Subparts,Status,Fault_Status,Return_Fan,Variable_Frequency_Drive,"return, air, fan",fault,sp,hisMode:sampled,,,,,
de6ee89a,Return Air Fan Speed Low Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Return_Fan,Variable_Frequency_Drive,"return, air, fan, speed","lowLimit, setpoint",sp,hisMode:sampled,,,,,
a9bcb01e,Return Air Fan Speed High Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Return_Fan,Variable_Frequency_Drive,"return, air, fan, speed","highLimit, setpoint",sp,hisMode:sampled,,,,,
cf51bc7c,Return Air Fan Flow,Subparts,Sensor,Air_Flow_Sensor,Return_Fan,,"return, air, fan, flow",,sensor|sp,hisMode:sampled,,,,,
c4232352,Return Air Fan Flow Setpoint,Subparts,Setpoint,Air_Flow_Setpoint,Return_Fan,,"return, air, fan, flow",setpoint,sp,hisMode:sampled,,,,,
601ef457,Exhaust Air Fan Run Command,Subparts,Command,On_Off_Command,Exhaust_Fan,,"exhaust, air, fan, run",,cmd,hisMode:sampled,,,,,
b170388d,Exhaust Air Fan Run Status,Subparts,Status,On_Off_Status,Exhaust_Fan,,"exhaust, air, fan, run",,sensor|sp,hisMode:sampled,,,,,
3059c4aa,Exhaust Air Fan Enable Command,Subparts,Command,Enable_Command,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, enable",,cmd,hisMode:sampled,,,,,
85e7758e,Exhaust Air Fan Enable Status,Subparts,Status,Enable_Status,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, enable",,sensor|sp,hisMode:sampled,,,,,
378c571d,Exhaust Air Fan Override Status,Subparts,Status,Overridden_Status,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan",override,sensor|sp,hisMode:sampled,,,,,
883ee021,Exhaust Air Fan Override Command,Subparts,Command,Override_Command,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan",override,cmd|sp,hisMode:sampled,,,,,
b087365f,Exhaust Air Fan Speed,Subparts,Sensor,Speed_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
b4784846,Exhaust Air Fan Speed Setpoint,Subparts,Setpoint,Speed_Setpoint,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, speed",setpoint,sp,hisMode:sampled,,,,,
cc249ea2,Exhaust Air Fan Angular Speed,Subparts,Sensor,Speed_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, speed",,sensor|sp,hisMode:sampled,,,,,
6bbd4dc3,Exhaust Air Fan Frequency,Subparts,Sensor,Frequency_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, freq",,sensor|sp,hisMode:sampled,,,,,
636aa6df,Exhaust Air Fan Active Power,Subparts,Sensor,Active_Power_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, active, power, (ac), (total)",,sensor|sp,hisMode:sampled,,,,,
3838ad83,Exhaust Air Fan Current,Subparts,Sensor,Current_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, current",,sensor|sp,hisMode:sampled,,,,,
8fd5452f,Exhaust Air Fan Voltage,Subparts,Sensor,Voltage_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, volt",,sensor|sp,hisMode:sampled,,,,,
1a0a7fdc,Exhaust Air Fan Torque,Subparts,Sensor,Torque_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan",torque,sensor|sp,hisMode:sampled,,,,,
78d2aa26,Exhaust Air Fan DC Voltage,Subparts,Sensor,DC_Bus_Voltage_Sensor,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, volt, dc",,sensor|sp,hisMode:sampled,,,,,
4911e879,Exhaust Air Fan Fault Status,Subparts,Status,Fault_Status,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan",fault,sp,hisMode:sampled,,,,,
28c959dc,Exhaust Air Fan Speed Low Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, speed","lowLimit, setpoint",sp,hisMode:sampled,,,,,
45ea6f60,Exhaust Air Fan Speed High Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Exhaust_Fan,Variable_Frequency_Drive,"exhaust, air, fan, speed","highLimit, setpoint",sp,hisMode:sampled,,,,,
1839ca13,Fan Run Command,Subparts,Command,On_Off_Command,Fan,,"fan, run",,cmd,hisMode:sampled,,,,,
9df16c1b,Fan Run Status,Subparts,Status,On_Off_Status,Fan,,"fan, run",,sensor|sp,hisMode:sampled,,,,,
832ea396,Fan Speed Mode,Subparts,Status,Speed_Mode_Status,Fan,,"fan, speed",mode,sensor|sp,hisMode:sampled,,,,,
7fdfd770,Fan Run Request Status,Subparts,Status,Run_Request_Status,Fan,Variable_Frequency_Drive,"fan, run",call,sensor|sp,hisMode:sampled,,,,,
daf44d8f,Fan Enable Command,Subparts,Command,Enable_Command,Fan,Variable_Frequency_Drive,"fan, enable",,cmd,hisMode:sampled,,,,,
0e2f6501,Fan Enable Status,Subparts,Status,Enable_Status,Fan,Variable_Frequency_Drive,"fan, enable",,sensor|sp,hisMode:sampled,,,,,
4b3c5b6c,Fan Override Status,Subparts,Status,Overridden_Status,Fan,Variable_Frequency_Drive,fan,override,sensor|sp,hisMode:sampled,,,,,
577a7f43,Fan Override Command,Subparts,Command,Override_Command,Fan,Variable_Frequency_Drive,fan,override,cmd|sp,hisMode:sampled,,,,,
08445e43,Fan Speed,Subparts,Sensor,Speed_Sensor,Fan,Variable_Frequency_Drive,"fan, speed",,sensor|sp,hisMode:sampled,,,,,
3a3e2bad,Fan Speed Setpoint,Subparts,Setpoint,Speed_Setpoint,Fan,Variable_Frequency_Drive,"fan, speed",setpoint,sp,hisMode:sampled,,,,,
742643c2,Fan Angular Speed,Subparts,Sensor,Speed_Sensor,Fan,Variable_Frequency_Drive,"fan, speed",,sensor|sp,hisMode:sampled,,,,,
9207eaac,Fan Frequency,Subparts,Sensor,Frequency_Sensor,Fan,Variable_Frequency_Drive,"fan, freq",,sensor|sp,hisMode:sampled,,,,,
c8c06910,Fan Active Power,Subparts,Sensor,Active_Power_Sensor,Fan,Variable_Frequency_Drive,"fan, active, power, (ac), (total)",,sensor|sp,hisMode:sampled,,,,,
8a47bd7c,Fan Current,Subparts,Sensor,Current_Sensor,Fan,Variable_Frequency_Drive,"fan, current",,sensor|sp,hisMode:sampled,,,,,
5aaccbc0,Fan Voltage,Subparts,Sensor,Voltage_Sensor,Fan,Variable_Frequency_Drive,"fan, volt",,sensor|sp,hisMode:sampled,,,,,
dc28ef12,Fan Torque,Subparts,Sensor,Torque_Sensor,Fan,Variable_Frequency_Drive,fan,torque,sensor|sp,hisMode:sampled,,,,,
c2d183e5,Fan DC Voltage,Subparts,Sensor,DC_Bus_Voltage_Sensor,Fan,Variable_Frequency_Drive,"fan, volt, dc",,sensor|sp,hisMode:sampled,,,,,
bb6a1074,Fan Fault Status,Subparts,Status,Fault_Status,Fan,Variable_Frequency_Drive,fan,fault,sp,hisMode:sampled,,,,,
e04708f3,Fan Speed Low Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Fan,Variable_Frequency_Drive,"fan, speed","lowLimit, setpoint",sp,hisMode:sampled,,,,,
7b73c9fc,Fan Speed High Limit Setpoint,Subparts,Setpoint,Speed_Setpoint,Fan,Variable_Frequency_Drive,"fan, speed","highLimit, setpoint",sp,hisMode:sampled,,,,,
baa07af5,Humidifier Run Command,Subparts,Command,On_Off_Command,Humidifier,,"humidifier, run",,cmd|sp,hisMode:sampled,,,,,
7d4499ef,Humidifier Run Status,Subparts,Status,On_Off_Status,Humidifier,,"humidifier, run",,sensor|sp,hisMode:sampled,,,,,
c7e734af,Humidification Modulation,Subparts,Sensor,Command,Humidifier,,humidifier,modulation,sp,hisMode:sampled,,,,,
a59109dd,Energy Recovery Wheel Run Command,Subparts,Command,On_Off_Command,Heat_Wheel,,"heatWheel, run",,cmd|sp,hisMode:sampled,,,,,
02901b8e,Energy Recovery Wheel Run Status,Subparts,Status,On_Off_Status,Heat_Wheel,,"heatWheel, run",,sensor|sp,hisMode:sampled,,,,,
317a2b15,Energy Recovery Wheel Speed,Subparts,Sensor,Speed_Sensor,Heat_Wheel,,"heatWheel, speed",,sensor|sp,hisMode:sampled,,,,,
b3f359f8,Valve Position Command,Subparts,Command,Position_Command,Valve,,valve,,cmd,hisMode:sampled,,,,,
c041822b,Valve Position,Subparts,Sensor,Position_Sensor,Valve,,valve,,sensor|sp,hisMode:sampled,,,,,
e6e2cc40,Valve Flow Rate,Subparts,Sensor,Flow_Sensor,Valve,,"valve, flow",,sensor|sp,hisMode:sampled,,,,,
8c69141d,Valve Alarm,Subparts,Status,Failure_Alarm,Valve,,"valve, alarm",,sp,hisMode:sampled,,,,,
c36aae62,CHW Valve Position,Subparts,Sensor,Position_Sensor,Chilled_Water_Valve,,"cool, chilled, water, valve",,sensor|sp,hisMode:sampled,,,,,
14c249ed,CHW Valve Position Command,Subparts,Command,Position_Command,Chilled_Water_Valve,,"cool, chilled, water, valve",,cmd,hisMode:sampled,,,,,
9ce63a46,CHW Valve Alarm,Subparts,Status,Failure_Alarm,Chilled_Water_Valve,,"cool, chilled, water, valve, alarm",,sp,hisMode:sampled,,,,,
5cf37dff,CHW Valve Position Command,Subparts,Command,Position_Command,Chilled_Water_Valve,,"cool, chilled, water, valve",valve:{n},cmd,hisMode:sampled,,,,,
939d0990,CHW Valve Position,Subparts,Sensor,Position_Sensor,Chilled_Water_Valve,,"cool, chilled, water, valve",valve:{n},sensor|sp,hisMode:sampled,,,,,
0ae33dc3,CDW Valve Position,Subparts,Sensor,Position_Sensor,Condenser_Water_Valve,,"condenser, water, valve",,sensor|sp,hisMode:sampled,,,,,
e36a7d27,CDW Valve Position Command,Subparts,Command,Position_Command,Condenser_Water_Valve,,"condenser, water, valve",,cmd,hisMode:sampled,,,,,
5e17efa7,CHW Valve Alarm,Subparts,Status,Failure_Alarm,Condenser_Water_Valve,,"cool, chilled, water, valve, alarm",,sp,hisMode:sampled,,,,,
a0a01c8c,HHW Valve Position Command,Subparts,Command,Position_Sensor,Hot_Water_Valve,,"heat, hot, water, valve",,cmd|sp,hisMode:sampled,,,,,
77a35576,HHW Valve Position,Subparts,Sensor,Position_Sensor,Hot_Water_Valve,,"heat, hot, water, valve",,sensor|sp,hisMode:sampled,,,,,
089e0814,HHW Valve Alarm,Subparts,Status,Failure_Alarm,Hot_Water_Valve,,"heat, hot, water, valve, alarm",,sp,hisMode:sampled,,,,,
4ed5cba2,HHW Valve Position Command,Subparts,Command,Position_Command,Hot_Water_Valve,,"heat, hot, water, valve",valve:{n},cmd|sp,hisMode:sampled,,,,,
73a1032b,HHW Valve Position,Subparts,Sensor,Position_Sensor,Hot_Water_Valve,,"heat, hot, water, valve",valve:{n},sensor|sp,hisMode:sampled,,,,,
90a807af,HHW Valve Position Command,Subparts,Command,Position_Command,Hot_Water_Valve,,"heat, hot, water, valve",zone:{n},cmd,hisMode:sampled,,,,,
e8162943,HHW Valve Position,Subparts,Sensor,Position_Sensor,Hot_Water_Valve,,"heat, hot, water, valve",zone:{n},sensor|sp,hisMode:sampled,,,,,
6073ff54,Steam Valve Position,Subparts,Sensor,Position_Sensor,Steam_Valve,,"steam, valve",,sensor|sp,hisMode:sampled,,,,,
51f1c7be,Steam Valve Position Command,Subparts,Command,Position_Command,Steam_Valve,,"steam, valve",,cmd,hisMode:sampled,,,,,
4f476630,Isolation Valve Position,Subparts,Sensor,Position_Sensor,Isolation_Valve,,"isolation, valve",,sensor|sp,hisMode:sampled,,,,,
307dd8c7,Isolation Valve Position Command,Subparts,Command,Position_Command,Isolation_Valve,,"isolation, valve",,cmd,hisMode:sampled,,,,,
c6c48361,CDW Isolation Valve Position,Subparts,Sensor,Position_Sensor,Condenser_Water_Isolation_Valve,,"condenser, water, isolation, valve",,sensor|sp,hisMode:sampled,,,,,
0fe7b0b2,CDW Isolation Valve Position Command,Subparts,Command,Position_Command,Condenser_Water_Isolation_Valve,,"condenser, water, isolation, valve",,cmd,hisMode:sampled,,,,,
bac7beea,Bypass Valve Position,Subparts,Sensor,Position_Sensor,Bypass_Valve,,"bypass, valve",,sensor|sp,hisMode:sampled,,,,,
e9e55fe0,Bypass Valve Position Command,Subparts,Command,Position_Command,Bypass_Valve,,"bypass, valve",,cmd,hisMode:sampled,,,,,
e91da648,Bypass Valve Position Setpoint,Subparts,Setpoint,Position_Command,Bypass_Valve,,"bypass, valve",setpoint,sp,hisMode:sampled,,,,,
8b033bb4,Bypass Valve Flow Rate,Subparts,Sensor,Flow_Sensor,Bypass_Valve,,"bypass, valve, flow",,sensor|sp,hisMode:sampled,,,,,
da7276bb,CDW Bypass Valve Position,Subparts,Sensor,Position_Sensor,Condenser_Water_Bypass_Valve,,"condenser, water, bypass, valve",,sensor|sp,hisMode:sampled,,,,,
213e1581,CDW Bypass Valve Position Command,Subparts,Command,Position_Command,Condenser_Water_Bypass_Valve,,"condenser, water, bypass, valve",,cmd,hisMode:sampled,,,,,
f4fa8acb,CDW Bypass Valve Flow Rate,Subparts,Sensor,Flow_Sensor,Condenser_Water_Bypass_Valve,,"condenser, water, bypass, valve, flow",,sensor|sp,hisMode:sampled,,,,,
0b5f8fb9,Primary Loop Delta-P,Subparts,Sensor,Differential_Pressure_Sensor,check,,"primaryLoop, pressure, delta",,sensor|sp,hisMode:sampled,,,,,
a5f2b59f,Secondary Loop Delta-P,Subparts,Sensor,Differential_Pressure_Sensor,check,,"secondaryLoop, pressure, delta",,sensor|sp,hisMode:sampled,,,,,
4b5319b3,Filter Status,Subparts,Status,Status,Filter,,filter,,sensor|sp,hisMode:sampled,,,,,
c6ae0426,Filter Alarm,Subparts,Status,Alarm,Filter,,filter,fault,sensor|sp,hisMode:sampled,,,,,
030ea97b,Filter Delta-P,Subparts,Sensor,Differential_Pressure_Sensor,Filter,,"filter, pressure, delta",,sensor|sp,hisMode:sampled,,,,,
cdc8e8e4,Filter Delta-P Setpoint,Subparts,Setpoint,Differential_Pressure_Setpoint,Filter,,"filter, pressure, delta",setpoint,sensor|sp,hisMode:sampled,,,,,
58cdec81,Return Air Filter Status,Subparts,Status,Status,Return_Air_Filter,,"return, filter",,sensor|sp,hisMode:sampled,,,,,
5f6cf0cb,Return Air Filter Alarm,Subparts,Status,Alarm,Return_Air_Filter,,"return, filter",fault,sensor|sp,hisMode:sampled,,,,,
b4083140,Return Air Filter Delta-P,Subparts,Sensor,Differential_Pressure_Sensor,Return_Air_Filter,,"return, filter, pressure, delta",,sensor|sp,hisMode:sampled,,,,,
064bf6b2,Return Air Filter Delta-P Setpoint,Subparts,Setpoint,Differential_Pressure_Setpoint,Return_Air_Filter,,"return, filter, pressure, delta",setpoint,sensor|sp,hisMode:sampled,,,,,
68fe779f,Outside Air Filter Status,Subparts,Status,Status,Intake_Air_Filter,,"outside, filter",,sensor|sp,hisMode:sampled,,,,,
98ed10b4,Outside Air Filter Alarm,Subparts,Status,Alarm,Intake_Air_Filter,,"outside, filter",fault,sensor|sp,hisMode:sampled,,,,,
d21c0edb,Outside Air Filter Delta-P,Subparts,Sensor,Differential_Pressure_Sensor,Intake_Air_Filter,,"outside, filter, pressure, delta",,sensor|sp,hisMode:sampled,,,,,
82f6a99f,Outside Air Filter Delta-P Setpoint,Subparts,Setpoint,Differential_Pressure_Setpoint,Intake_Air_Filter,,"outside, filter, pressure, delta",setpoint,sensor|sp,hisMode:sampled,,,,,
ee58cd16,Compressor Run Command,Subparts,Command,On_Off_Command,Compressor,,"run, stage:{n}",compressor,cmd,hisMode:sampled,,,,,
96a588f3,Compressor Run Status,Subparts,Status,On_Off_Status,Compressor,,run,compressor,sensor|sp,hisMode:sampled,,,,,
8c5a11c2,Compressor Enable Command,Subparts,Command,Enable_Command,Compressor,,"enable, stage:{n}",compressor,cmd,hisMode:sampled,,,,,
169e1808,Compressor Enable Status,Subparts,Status,Enable_Status,Compressor,,enable,compressor,sensor|sp,hisMode:sampled,,,,,
3e4e1ba5,Compressor Fault Status,Subparts,Status,Fault_Status,Compressor,,,"compressor, fault",sensor|sp,hisMode:sampled,,,,,
2fc7e2f7,Compressor Speed,Subparts,Sensor,Speed_Sensor,Compressor,,speed,compressor,sensor|sp,hisMode:sampled,,,,,
415c6fc9,Compressor Temperature,Subparts,Sensor,Temperature_Sensor,Compressor,,temp,compressor,sensor|sp,hisMode:sampled,,,,,
39b08594,Compressor Current,Subparts,Sensor,Current_Sensor,Compressor,,current,compressor,sensor|sp,hisMode:sampled,,,,,
3881fb52,Compressor Runtime,Subparts,Sensor,Run_Time_Sensor,Compressor,,run,"time, compressor",sp,hisMode:sampled,,,,,
23aba30a,VFD Run Command,Subparts,Command,On_Off_Command,Variable_Frequency_Drive,,"vfd, run",,cmd,hisMode:sampled,,,,,
60f65ffc,VFD Run Status,Subparts,Status,On_Off_Status,Variable_Frequency_Drive,,"vfd, run",,sensor|sp,hisMode:sampled,,,,,
606a8d78,VFD Enable Command,Subparts,Command,Enable_Command,Variable_Frequency_Drive,,"vfd, enable",,cmd,hisMode:sampled,,,,,
321c0244,VFD Enable Status,Subparts,Status,Enable_Status,Variable_Frequency_Drive,,"vfd, enable",,sensor|sp,hisMode:sampled,,,,,
49b32232,VFD Override Status,Subparts,Status,Overridden_Status,Variable_Frequency_Drive,,vfd,override,sensor|sp,hisMode:sampled,,,,,
99596eb7,VFD Speed,Subparts,Sensor,Speed_Sensor,Variable_Frequency_Drive,,"vfd, speed",,sensor|sp,hisMode:sampled,,,,,
6b903536,VFD Speed Setpoint,Subparts,Setpoint,Speed_Setpoint,Variable_Frequency_Drive,,"vfd, speed",setpoint,sp,hisMode:sampled,,,,,
12c699d1,VFD Frequency,Subparts,Sensor,Frequency_Sensor,Variable_Frequency_Drive,,"vfd, freq",,sensor|sp,hisMode:sampled,,,,,
99292a5a,VFD Active Power,Subparts,Sensor,Active_Power_Sensor,Variable_Frequency_Drive,,"vfd, active, power, (ac), (total)",,sensor|sp,hisMode:sampled,,,,,
749b2c5f,VFD Current,Subparts,Sensor,Current_Sensor,Variable_Frequency_Drive,,"vfd, current",,sensor|sp,hisMode:sampled,,,,,
7726b802,VFD Voltage,Subparts,Sensor,Voltage_Sensor,Variable_Frequency_Drive,,"vfd, volt",,sensor|sp,hisMode:sampled,,,,,
f69f5dd0,VFD Torque,Subparts,Sensor,Torque_Sensor,Variable_Frequency_Drive,,vfd,torque,sensor|sp,hisMode:sampled,,,,,
321acb62,VFD Heatsink Temperature,Subparts,Sensor,Heat_Sink_Temperature_Sensor,Variable_Frequency_Drive,,"vfd, temp",heatsink,sensor|sp,hisMode:sampled,,,,,
86258534,VFD DC Voltage,Subparts,Sensor,DC_Bus_Voltage_Sensor,Variable_Frequency_Drive,,"vfd, volt, dc",,sensor|sp,hisMode:sampled,,,,,
7a26b9a4,VFD Fault,Subparts,Status,Fault_Status,Variable_Frequency_Drive,,vfd,fault,sp,hisMode:sampled,,,,,
